0: 104.114.211.101
1: 104.98.5.24
2: 120.146.26.214
3: 130.102.128.23
4: 173.194.72.108
5: 173.194.72.109
6: 192.168.1.1
7: 192.168.1.103
8: 192.168.1.192
9: 192.168.1.193
10: 192.168.1.239
11: 192.189.54.17
12: 224.0.0.251
13: 23.48.55.55
14: 239.255.255.250
15: 255.255.255.255
16: 50.18.212.102
17: 52.8.89.254
18: 52.9.90.31
19: 54.153.91.148
20: 54.183.140.125
21: 54.215.191.98
22: 54.215.199.179
23: 54.241.163.195
24: 59.167.170.228
25: 64.233.188.108
26: 64.233.188.109
27: 64.233.189.108
28: 64.233.189.109
29: 74.125.204.108
30: 74.125.204.109
