0: 107.170.224.8
1: 129.6.15.30
2: 131.107.13.100
3: 132.163.4.101
4: 138.236.128.36
5: 173.71.69.90
6: 176.32.100.25
7: 176.32.98.204
8: 176.32.99.246
9: 192.168.1.1
10: 198.38.16.1
11: 204.11.201.12
12: 205.251.242.52
13: 205.251.243.137
14: 206.108.0.131
15: 206.108.0.132
16: 207.171.178.6
17: 208.67.220.220
18: 208.75.88.4
19: 208.75.89.4
20: 23.23.189.20
21: 239.255.255.250
22: 45.79.10.228
23: 54.239.26.180
24: 54.239.29.231
25: 71.252.219.43
26: 72.21.192.213
27: 72.21.207.109
28: 72.21.207.120
29: 74.125.34.101
30: 8.8.8.8
31: 93.184.216.34
32: 96.244.96.19
33: 97.107.128.58
