Packet ID,TIME,Size,eth.src,eth.dst,IP.src,IP.dst,IP.proto,port.src,port.dst
2,1476190802,75,18:b7:9e:02:20:44,14:cc:20:51:33:ea,192.168.1.120,192.168.1.1,17,43761,53
3,1476190802,91,14:cc:20:51:33:ea,18:b7:9e:02:20:44,192.168.1.1,192.168.1.120,17,53,43761
4,1476190802,785,18:b7:9e:02:20:44,14:cc:20:51:33:ea,192.168.1.120,46.105.38.79,6,58304,5228
6,1476190803,156,30:8c:fb:2f:e4:b2,14:cc:20:51:33:ea,192.168.1.106,52.87.241.159,6,38035,443
7,1476190803,753,14:cc:20:51:33:ea,18:b7:9e:02:20:44,46.105.38.79,192.168.1.120,6,5228,58304
8,1476190803,66,14:cc:20:51:33:ea,30:8c:fb:2f:e4:b2,52.87.241.159,192.168.1.106,6,443,38035
10,1476190804,43,70:ee:50:18:34:43,14:cc:20:51:33:ea,192.168.1.241,52.8.186.218,17,47783,4500
12,1476190805,43,14:cc:20:51:33:ea,70:ee:50:18:34:43,52.8.186.218,192.168.1.241,17,4500,47783
13,1476190805,300,30:8c:fb:2f:e4:b2,14:cc:20:51:33:ea,192.168.1.106,52.87.241.159,6,38035,443
14,1476190805,66,14:cc:20:51:33:ea,30:8c:fb:2f:e4:b2,52.87.241.159,192.168.1.106,6,443,38035
